machine; formula_tape; num_steps_until_formula_tape; num_macro_steps_until_special_case
1RB0RE_1RC1LC_1RD0LC_1LB1LE_---1RA; .<C0(11)011.; 45; 18
1RB0RE_1RC1LC_1LD---_1RE0LB_1RE0RA; .1(1)0010000(00)10A>.; 110; 35
1RB0RE_1RC1LC_1LD0RA_---0LE_1LE1LB; .101010(101010)A>.; 150; 52
1RB0RE_1RC1LC_1LD0RA_0LB0LA_0LD---; .<A0101(00101).; 126; 44
1RB0RE_1RC1LC_1LD0RA_1RA0LB_---0RB; .(10010)A>.; 40; 12
1RB0RE_1RC1LC_1LD0LA_1LA0LB_0RC---; .<A11101(11101).; 129; 46
1RB0RE_1RC1LC_1LD1RE_1LA0LB_---0RA; .1(1)000100000(00)10A>.; 152; 47
1RB0RE_1RC1LD_0LB0RB_1RA0LD_1LC---; .11101010(101010)B>.; 206; 70
1RB0RE_1RC1LD_0LB0RD_1RE0LD_1RA---; .11(11011)01A>.; 93; 35
1RB0RE_1RC1LD_0LB1RA_---0LA_1LA1RD; .<A01(111)0.; 77; 25
1RB0RE_1RC1LD_0LD1RA_---0LA_1LA1RD; .<A01(111)0.; 89; 29
1RB0RE_1RC1LD_1RD0RA_1LB0LB_0LA---; .<B1101(001001001)1.; 266; 90
1RB0RE_1RC1LD_1RD0RA_1LB0LB_1RC---; .11(1111)0010110(110)A>.; 261; 99
1RB0RE_1RC1LD_1LB0RA_0LC0LD_1RC---; .<B10011(011011).; 99; 38
1RB0RE_1RC1LD_1LB0RA_1LC0LB_---0LA; .10110110110(110110)A>.; 226; 71
1RB0RE_1RC1LD_1LB0RD_---0LA_1RE0LD; .<A011(11).; 81; 29
1RB0RE_1RC1LD_1LB0LA_---1LE_0LA1LB; .<A0111(111).; 72; 26
1RB0RE_1RC1LD_1LB1RA_---0LA_1LA1RD; .<A011(111111).; 253; 76
1RB0RE_1RC1LD_1LB1RA_---0LA_1LC1LB; .<A011(111111).; 121; 40
1RB0RE_1RC1LD_1LB1RA_---1LE_1LB0RD; .(111111)A>.; 64; 20
1RB0RE_1RC1LD_1LC1LB_1RA0LE_---1RC; .<B11111(111).; 122; 42
1RB0RE_1RC1LD_1LD0RA_---1LE_0LA0LB; .<A01111(01111).; 129; 45
1RB0RE_1RC1LD_1LD0LA_---1LE_0LA1LB; .<A011111(111).; 117; 38
1RB0RE_1RC1LD_1LD1RA_---0LA_1LA1RD; .<A011(111111).; 265; 80
1RB0RE_1RC1LE_1RD0RA_0LB---_0LD0LA; .<A01010(01010).; 108; 38
1RB0RE_1RC1LE_1RD0RA_0LE---_1LB0LE; .<B1110(110110110110)000.; 336; 110
1RB0RE_1RC1LE_1LD0RB_0LE0LC_0LA---; .<A0010101(010101).; 139; 54
1RB0RE_1RC1LE_1LD0LA_---1LB_0LA0LC; .<A0111(111).; 90; 32
1RB0RE_1RC1LE_1LD0LA_---1LB_0LA1LD; .<A0111(111).; 72; 26
1RB0RE_1RC1LE_1LD1RE_---1LB_1RA0LC; .(111101)A>.; 74; 24
1RB0RE_1LB0RC_1RA1LD_0LC1RA_0LD---; .11011(011011)B>.; 150; 54
1RB0RE_1LB0RC_1RA1LD_1LE---_1RB0LD; .1010101(01010101)A>.; 228; 82
1RB0RE_1LB0RC_1LC0LD_1LE---_1RA0RB; .101(0101)A>.; 72; 26
1RB0RE_1LB0LC_0RA1LD_0LE---_1RC0LA; .<A0010010(010010).; 165; 57
1RB0RE_1LB0LC_0RA1LD_1RA0LB_1RD---; .(1011)A>.; 42; 13
1RB0RE_1LB0LC_0RD0LB_1RA---_1RD0LD; .01011(011)A>.; 186; 85
1RB0RE_1LB0LC_0LD---_1RD0RA_---0LC; .111(111)0A>.; 90; 32
1RB0RE_1LB0LC_0LD---_1RD0RA_0RB1LE; .111(111)0A>.; 96; 34
1RB0RE_1LB0LC_0LD0LA_1RD0RA_---0RC; .111(111)0A>.; 102; 36
1RB0RE_1LB0LC_0LD0LB_1RD0RA_---1LB; .<C000(00)1111.; 74; 18
1RB0RE_1LB0LC_0LD0LC_1RD0RA_---1LB; .<C000(00)1111.; 74; 18
1RB0RE_1LB0LC_0LD0LD_1RD0RA_---1LA; .111(111)0A>.; 96; 34
1RB0RE_1LB0LC_0LD0LD_1RD1RA_---0LD; .1111(111)A>.; 84; 30
1RB0RE_1LB0LC_0LD0LD_1RD1RA_---1RC; .1111(1111)A>.; 114; 37
1RB0RE_1LB0LC_0LD1RB_1RD0RA_---1RB; .111(111)0A>.; 102; 36
1RB0RE_1LB0LC_0LD1RB_1RD1RA_---0RB; .(1111)A>.; 36; 9
1RB0RE_1LB0LC_0LD1LB_1RD0RA_---1RC; .111(111)0A>.; 96; 34
1RB0RE_1LB0LC_0LD1LC_1RD1RA_---0RB; .(1111)A>.; 28; 10
1RB0RE_1LB0LC_1RA0LD_1RB1LC_0RC---; .1001(01001)A>.; 108; 38
1RB0RE_1LB0LC_1RA0LD_1RD1RA_---0RB; .1111(1111)A>.; 122; 37
1RB0RE_1LB0LC_1RA0LD_1RD1RA_---0LD; .1111(111)A>.; 92; 30
1RB0RE_1LB0LC_1RA0LD_1RD1RA_---1RC; .1111(1111)A>.; 122; 37
1RB0RE_1LB0LC_1RA1LD_0LC1LC_---0RC; .1001(01001)A>.; 96; 34
1RB0RE_1LB0LC_1RD0LA_0RA---_0LB1RD; .<A00110110(110110).; 195; 67
1RB0RE_1LB0LC_1RD0LB_0RA---_0LB1RC; .100110(01100110)A>.; 218; 83
1RB0RE_1LB0LC_1RD0LD_0LA0RD_1RA---; .(0101)A>.; 46; 11
1RB0RE_1LB0LC_1RD0LD_0LA1RB_1RA---; .(0101)A>.; 44; 11
1RB0RE_1LB0LC_1RD0LD_0LA1RC_1RA---; .(0101)A>.; 40; 11
1RB0RE_1LB0LC_1RD0LD_1RD1RA_---1RB; .111(1111)A>.; 84; 27
1RB0RE_1LB0LC_1LA0LD_1RD0RA_---0RB; .<A101(1111).; 76; 26
1RB0RE_1LB0LC_1LA0LD_1RD1RA_---1RC; .11111111(1111)A>.; 234; 73
1RB0RE_1LB0LC_1LA0LD_1RE---_0RE0RB; .<A101(1111).; 62; 17
1RB0RE_1LB0LC_1LA1LD_1RA---_0RE0RB; .<A101(1111).; 62; 17
1RB0RE_1LB0LC_1LD0LE_1RE---_1LC0RA; .<C10(00)100.; 84; 30
1RB0RE_1LB0LC_1LD1RC_1LE0LA_0RC---; .0001001(001)11C>.; 174; 48
1RB0RE_1LB1RC_---0LD_1RA1LD_1RA0RB; .101(0101)A>.; 108; 38
1RB0RE_1LB1RC_---1RD_0LA1RE_1LD1RB; .<A011111(1111).; 138; 45
1RB0RE_1LB1RC_0RE1LD_1LA0LD_---1RB; .<A101(101).; 138; 48
1RB0RE_1LB1RC_1RA1LD_---0LC_0LE1RC; .(1111)A>.; 30; 11
1RB0RE_1LB1RC_1RA1LD_---0LC_0LE1LA; .(1111)A>.; 34; 11
1RB0RE_1LB1RC_1LA0LD_0RA1LC_---0RA; .<A110(100).; 66; 26
1RB0RE_1LB1RC_1LA0LD_0LC1LC_---0RA; .<A110(100100).; 104; 39
1RB0RE_1LB1RC_1LA1LD_1LE0LC_---1RB; .<A101(0101).; 114; 40
1RB0RE_1LB1RC_1LD1LC_0RE0LA_---1RA; .(0101)A>.; 32; 11
1RB0RE_1LB1RC_1LD1LC_0RE1LA_---1RA; .(0101)A>.; 32; 11
1RB0RE_1LB1RC_1LD1LC_1RD1LA_---1RA; .(0101)A>.; 36; 13
1RB0RE_1LB1LC_0RD0LA_---1RA_1LA1RD; .01011(011)A>.; 83; 26
1RB0RE_1LB1LC_0LD1RD_0RA0LC_1RC---; .01001(01001)101B>.; 212; 73
1RB0RE_1LB1LC_1RC1LD_1RA0LC_1RD---; .110111(0111)11011A>.; 200; 59
1RB0RE_1LB1LC_1RD0LA_---1RA_1LA1RD; .<A0111(111).; 96; 34
1RB0RE_1LB1LC_1RD0LA_---1RC_1RA1RD; .<A01111(1111).; 90; 32
1RB0RE_1LB1LC_1LD0RD_0RE0LA_---1RA; .(0101)A>.; 30; 9
1RB0RE_1LB1LC_1LD0LA_1RA---_1LB1RE; .<C111111(111).; 70; 24
1RB0RE_1LB1LC_1LD1LC_0RE0LA_---1RA; .(0101)A>.; 26; 9
1RB0RE_1LC---_0RA0LD_1LC0LE_1RA0LC; .00101(0101)A>.; 105; 44
1RB0RE_1LC---_0RA0LD_1LC0LE_1RA1RB; .00101(0101)A>.; 97; 40
1RB0RE_1LC---_0RD0LC_1LB1RA_1RC1RE; .<C(111100)01.; 125; 43
1RB0RE_1LC---_0RD1LC_1LE0LD_1RA1RC; .10101(01010101010101)A>.; 475; 154
1RB0RE_1LC---_0RE0LD_0LE0LB_1RA0RC; .0001000100010(0010)1A>.; 158; 49
1RB0RE_1LC---_0LA0LD_0LE1LC_0RE1RA; .0001(001)A>.; 48; 18
1RB0RE_1LC---_0LB0LD_1LE0RB_1RA1LE; .1(1)0101(101)A>.; 69; 27
1RB0RE_1LC---_0LB1LD_1RD0RA_0RC0LC; .1001(1001)01B>.; 112; 39
1RB0RE_1LC---_0LC1LD_1RA0LA_1RB0RC; .<A01(11)000.; 79; 26
1RB0RE_1LC---_0LD0LB_1RE1LE_1LD0RA; .10001010(10101010)A>.; 221; 80
1RB0RE_1LC---_0LD0LC_1RD0RA_---0LC; .111(111)0A>.; 90; 32
1RB0RE_1LC---_0LD1LC_0RE0LD_1RA1LE; .01110111011101(1101)A>.; 269; 71
1RB0RE_1LC---_0LD1LC_1RE0LD_1RA1LE; .11111(11111)011101A>.; 182; 59
1RB0RE_1LC---_0LD1LD_1RE1LE_0LC0RA; .<D001100(1100).; 298; 110
1RB0RE_1LC---_0LE0RD_1RA1LB_1LD0RD; .100100010001000100(01000100)1A>.; 561; 182
1RB0RE_1LC---_1RA0RD_1RC0LE_1LD1LC; .(1011)A>.; 38; 11
1RB0RE_1LC---_1RA0LD_0RB0LA_1LE1RC; .<A001101(101).; 94; 34
1RB0RE_1LC---_1RA0LD_0LB0LC_1LC0RA; .<B0000(00)1001(1).; 85; 29
1RB0RE_1LC---_1RA0LD_0LB0LD_1LC0RC; .<B0000(00)10001(1).; 91; 31
1RB0RE_1LC---_1RA0LD_0LB0LE_1LC0LC; .11111(111)B>.; 82; 29
1RB0RE_1LC---_1RA0LD_0LC1LC_0RA1LC; .(100100)A>.; 58; 19
1RB0RE_1LC---_1RA0LD_0LE0LD_1LC0RC; .<C10000(00)10001(1).; 92; 31
1RB0RE_1LC---_1RA0LD_0LE0LE_1LC0LC; .11111(111)B>.; 82; 29
1RB0RE_1LC---_1RA0LD_1LB1RE_0LC0RD; .<B100(0)110(11)0.; 89; 31
1RB0RE_1LC---_1RA0LD_1LC0RB_1RC1RB; .10101(0101010101)1A>.; 306; 110
1RB0RE_1LC---_1RA0LD_1LC0RB_1RC1RD; .10101(0101010101)1A>.; 306; 110
1RB0RE_1LC---_1RA0LD_1LC0RD_1RC0LB; .10101(0101)1A>.; 118; 46
1RB0RE_1LC---_1RA0LD_1LC0RD_1RC0LD; .10101(0101)1A>.; 118; 46
1RB0RE_1LC---_1RA0LD_1LC0RD_1RC1RB; .10101(0101010101)1A>.; 306; 110
1RB0RE_1LC---_1RA0LD_1LC0LD_1LC1RC; .<C100(0)10001(1).; 64; 22
1RB0RE_1LC---_1RA0LD_1LC0LE_1LC0LC; .1(111)B>.; 35; 13
1RB0RE_1LC---_1RA0LD_1LC1LE_1RC1LC; .11011(011011)A>.; 168; 58
1RB0RE_1LC---_1RA0LD_1LE0RB_1RC0LB; .10101(0101)1A>.; 130; 50
1RB0RE_1LC---_1RA1LD_0LB1LB_0RA0RC; .100001(001001)A>.; 93; 31
1RB0RE_1LC---_1RA1LD_1RE0LA_0LD0RC; .<A001111(01111).; 132; 46
1RB0RE_1LC---_1RA1LD_1RE0LD_0LA0RC; .1101(01101)A>.; 105; 37
1RB0RE_1LC---_1RA1LD_1RE0LD_1LC0RC; .1101(01101)A>.; 81; 29
1RB0RE_1LC---_1RB1LD_1RD0RA_1LE0LC; .<C0111(111).; 114; 40
1RB0RE_1LC---_1RC0LD_0LC1RE_0RA1LD; .111(1111)0A>.; 126; 38
1RB0RE_1LC---_1RD0LB_0RA0RD_1LE0RC; .100100(100100)A>.; 195; 67
1RB0RE_1LC---_1RD1LD_1RA0LE_1RB0LC; .(111)A>.; 28; 10
1RB0RE_1LC---_1RE0LD_1LB0LE_1RA0RA; .1(1)0010(00)1A>.; 69; 25
1RB0RE_1LC---_1LD0RC_1LE0RB_1RA0LD; .10101(01010101)1B>.; 202; 74
1RB0RE_1LC---_1LD0RC_1LE1RD_1RA0LD; .10101(010101)1B>.; 138; 52
1RB0RE_1LC---_1LD0RD_1RA0LB_0RD1RE; .10101(0101)A>.; 69; 26
1RB0RE_1LC---_1LD0RD_1RA0LB_1RA0RC; .10101(0101)A>.; 81; 30
1RB0RE_1LC---_1LD0RD_1RA1LB_0RD0LE; .1010101010101(0101)A>.; 212; 62
1RB0RE_1LC---_1LD0LC_0RA0LA_0LB1RD; .0010010(010010)1B>.; 223; 78
1RB0RE_1LC---_1LD0LC_1RA0RE_1RD0LD; .101(101)011(011)A>.; 102; 38
1RB0RE_1LC---_1LD0LC_1RA0LC_1LD1RD; .<C00(0)10001(1).; 63; 22
1RB0RE_1LC---_1LD0LC_1LE0RE_1RE1RA; .11011101(0101)1A>.; 204; 66
1RB0RE_1LC---_1LD1RC_1RA0LE_1RD0LC; .1011011(011011)A>.; 141; 55
1RB0RE_1LC---_1LD1LC_0RE0LA_---1RA; .(0101)A>.; 26; 9
1RB0RE_1LC---_1LD1LC_1RA0LB_1LE1RA; .10101(0101)A>.; 69; 24
1RB0RE_1LC---_1LD1LC_1RA0LE_1RD0LE; .11111111111(1111)A>.; 150; 46
1RB0RE_1LC---_1LD1LC_1RA1RE_1RD0LE; .1111111111111(1111)A>.; 196; 52
1RB0RE_1LC---_1LD1LC_1RE0LD_1RA1LE; .111111(111111)0111101A>.; 238; 75
1RB0RE_1LC---_1LE0RD_0LA0LB_1RA1LD; .<A01110(1110)0.; 135; 47
1RB0RE_1LC---_1LE0RD_1RA0LC_1RD0LB; .01(001)1B>.; 52; 19
1RB0RE_1LC---_1LE0LD_1LB0LE_1RA0RA; .1(1)00010(00)1A>.; 75; 27
1RB0RE_1LC---_1LE1LD_1RA0LB_0RC0RD; .1(1)001010(10)01A>.; 100; 33
1RB0RE_1LC---_1LE1LD_1RC0LD_1RA0LC; .101010101(01010101)A>.; 203; 71
1RB0RE_1LC0RA_---0LD_1LE0LA_1LA1RC; .<A001010(101010)01.; 158; 54
1RB0RE_1LC0RA_---1RD_1LE0LD_1LA1LB; .<A1100(1100).; 57; 21
1RB0RE_1LC0RA_---1RD_1LE1LA_1RC0LD; .<A101(0101).; 96; 34
1RB0RE_1LC0RA_---1LD_1RB1LB_1LE0LD; .<D11(111).; 51; 12
1RB0RE_1LC0RA_0RB0LD_1LA---_0LD0LB; .<A101(001001).; 126; 42
1RB0RE_1LC0RA_0RB1LD_0LE---_1LA0LB; .<A1011(111111111111111111).; 961; 290
1RB0RE_1LC0RA_0LA0LD_1LA---_0LB0RC; .<A10101010(1010).; 184; 62
1RB0RE_1LC0RA_0LA0LD_1LA---_0LB1RB; .<A10101010(1010).; 172; 58
1RB0RE_1LC0RA_0LA1LD_1LA---_0LD0LB; .<A101011(011).; 94; 29
1RB0RE_1LC0RA_0LB0LD_1LA---_0LB0RB; .<A10101011(01011).; 241; 83
1RB0RE_1LC0RA_0LB0LD_1LA---_1RB1LB; .<A101(01101).; 86; 33
1RB0RE_1LC0RA_0LB0LD_1LE---_1RB1LC; .1010(10010)A>.; 88; 34
1RB0RE_1LC0RA_0LC0LD_1LA---_1LC1RE; .1(1)0110101010(10)A>.; 344; 95
1RB0RE_1LC0RA_0LC1LD_1LA---_1LA0RB; .<A11(000)1.; 38; 12
1RB0RE_1LC0RA_0LD0LC_0RE1LB_1LA---; .(1010)A>.; 30; 11
1RB0RE_1LC0RA_0LD0LC_1RD0RB_---1LB; .1111(1111)00A>.; 177; 61
1RB0RE_1LC0RA_0LE0LD_1LB0LA_1RA---; .1100101(010101010101)A>.; 327; 109
1RB0RE_1LC0RA_0LE1LD_1LA---_1RA1LC; .<A111(0111).; 54; 20
1RB0RE_1LC0RA_0LE1LD_1LA---_1RC0LD; .<A1(011110011)11.; 356; 108
1RB0RE_1LC0RA_1RA0LD_0LB0RD_1LA---; .11010(1010)A>.; 84; 31
1RB0RE_1LC0RA_1RA0LD_0LB1LC_1LA---; .11010(1010)A>.; 80; 29
1RB0RE_1LC0RA_1RA0LD_1LA---_1LD0LB; .<A101(0101).; 60; 22
1RB0RE_1LC0RA_1RA0LD_1LE---_1LA0LB; .<A1101(010101010101).; 269; 90
1RB0RE_1LC0RA_1RA1LD_0LB---_0RA0LB; .10100(100100)A>.; 142; 52
1RB0RE_1LC0RA_1RA1LD_0LB---_1RA0RA; .10100(100100)A>.; 106; 40
1RB0RE_1LC0RA_1RA1LD_0LB---_1RA1RD; .<B011(011011).; 100; 38
1RB0RE_1LC0RA_1RA1LD_0LB---_1LD1LC; .010010(10)010(1010)010010A>.; 495; 156
1RB0RE_1LC0RA_1RA1LD_0LB---_1LE1RB; .1(1)00101(001)B>.; 119; 44
1RB0RE_1LC0RA_1RA1LD_1LC0LB_---0LC; .1110(10110)A>.; 106; 40
1RB0RE_1LC0RA_1RB0LD_0LE---_1LA1LB; .<A100110011001(100110011001).; 534; 196
1RB0RE_1LC0RA_1RB0LD_0LE---_1LC1LB; .10101(0101)1010101010(1010)A>.; 327; 116
1RB0RE_1LC0RA_1RB0LD_0LE---_1LC1LE; .101011010101010(1010)A>.; 181; 52
1RB0RE_1LC0RA_1RB0LD_1LE---_0LB0LE; .10101(101101)0A>.; 196; 68
1RB0RE_1LC0RA_1RB0LD_1LE---_1LC0RC; .101010(1010)A>.; 83; 30
1RB0RE_1LC0RA_1RB1LD_0LB---_1LE1RB; .<B011(011011).; 148; 52
1RB0RE_1LC0RA_1RB1LD_0LE---_0LB1LC; .<B0011(011011011).; 183; 63
1RB0RE_1LC0RA_1RB1LD_1LC0LB_---0RD; .10101010101010(1010)A>.; 212; 54
1RB0RE_1LC0RA_1RB1LD_1LC0LD_---0RD; .10101010101010(1010)A>.; 212; 54
1RB0RE_1LC0RA_1RC0LD_0LB1RA_---0RC; .1101(1101)0A>.; 168; 58
1RB0RE_1LC0RA_1RC0LD_0LB1RA_---0LB; .1101(1111)0A>.; 188; 66
1RB0RE_1LC0RA_1RC0LD_0LB1RA_---1LB; .1101(1111)0A>.; 164; 58
1RB0RE_1LC0RA_1RD1LC_1LA1LD_---0LD; .<A1111(111111111111).; 503; 158
1RB0RE_1LC0RA_1RE0LD_0LB---_0RB0RC; .1010(1010)0A>.; 108; 38
1RB0RE_1LC0RA_1RE1LD_0LB---_1RB0RC; .1(1)00101(001)B>.; 83; 32
1RB0RE_1LC0RA_1LA0LD_0LB0LC_0RD---; .<A11001110011(10011).; 213; 71
1RB0RE_1LC0RA_1LA0LD_1LA---_1RE0LB; .<A1(1010)01.; 56; 18
1RB0RE_1LC0RA_1LA0LD_1LB---_1RB0LB; .<A11101(01001101).; 146; 48
1RB0RE_1LC0RA_1LA0LD_1LB---_1RB0LC; .<A11101(101101).; 94; 30
1RB0RE_1LC0RA_1LA0LD_1LC---_1LE1RB; .<A1101(010101).; 101; 40
1RB0RE_1LC0RA_1LA1RD_1LC1LD_---0LC; .<A1111(111111111).; 215; 72
1RB0RE_1LC0RA_1LA1LD_0RD1LB_---0LC; .<A1111(111111111).; 187; 64
1RB0RE_1LC0RA_1LA1LD_0LC---_0RC1RB; .<A1011(111011).; 87; 30
1RB0RE_1LC0RA_1LA1LD_0LE---_0RB0LD; .<A110101(0101).; 149; 52
1RB0RE_1LC0RA_1LA1LD_0LE---_0RC0LB; .<A11010(001101010011).; 356; 112
1RB0RE_1LC0RA_1LA1LD_1LB---_0LC1LE; .<A101010101010101(0101)1.; 275; 64
1RB0RE_1LC0RA_1LA1LD_1LC0LC_---0RD; .<A1111(1111).; 51; 19
1RB0RE_1LC0RA_1LA1LD_1LC1LB_---0LC; .<A1111(111111111).; 173; 58
1RB0RE_1LC0RA_1LC1LD_1LA---_1RC0LD; .<A100110011011(11011).; 387; 124
1RB0RE_1LC0RA_1LD0RD_1RB0LB_1LA---; .(1010)A>.; 36; 13
1RB0RE_1LC0RA_1LD0RD_1RB0LB_1LD---; .(1010)A>.; 36; 13
1RB0RE_1LC0RA_1LD0RD_1RD0LB_1RA---; .0101001(1001)A>.; 137; 44
1RB0RE_1LC0RA_1LD0RD_1RD0LB_1LA---; .0101010(1010)A>.; 107; 34
1RB0RE_1LC0RA_1LD0RD_1RD0LB_1LC---; .0101010(1010)A>.; 131; 42
1RB0RE_1LC0RA_1LD0LB_0RE---_0LE1RA; .0001010(10)A>.; 136; 38
1RB0RE_1LC0RA_1LD0LB_1LA---_0LC0LD; .<A11101010101(010101).; 240; 82
1RB0RE_1LC0RA_1LD0LB_1LE---_1RC1RE; .01101010(10101010)A>.; 262; 94
1RB0RE_1LC0RA_1LD0LB_1LE---_1RC1LD; .010(10)001B>.; 76; 27
1RB0RE_1LC0RA_1LD0LB_1LE---_1LA0RE; .<A111101(01010101).; 167; 60
1RB0RE_1LC0RA_1LD0LC_0RA0LA_1LA---; .01010(1010)A>.; 75; 27
1RB0RE_1LC0RA_1LD0LC_0RA0LB_1LA---; .01010(1010)A>.; 75; 27
1RB0RE_1LC0RA_1LD0LC_0RB0LA_1LA---; .0010(1010)A>.; 62; 23
1RB0RE_1LC0RA_1LD0LC_1RB1LC_---0RC; .(1010)A>.; 28; 10
1RB0RE_1LC0RA_1LD1LB_1RB0LC_---0RD; .<B11(1111).; 49; 19
1RB0RE_1LC0RA_1LD1LC_0RE0LA_---1LA; .(1010)A>.; 38; 13
1RB0RE_1LC0RA_1LD1LC_1RB0LA_---1LA; .(1010)A>.; 34; 11
1RB0RE_1LC0RA_1LD1LC_1RB0LA_---1LD; .(1010)A>.; 34; 11
1RB0RE_1LC0RA_1LD1LC_1RB0LD_---1LA; .(1010)A>.; 34; 11
1RB0RE_1LC0RA_1LD1LC_1RB0LD_---1LD; .(1010)A>.; 34; 11
1RB0RE_1LC0RA_1LD1LC_1RE0LA_---1LA; .(1010)A>.; 42; 15
1RB0RE_1LC0RA_1LD1LC_1LA0RC_---0LD; .<A1111(111111111111).; 549; 170
1RB0RE_1LC0RA_1LD1LC_1LA1RC_---0LD; .<A1111(111111111).; 205; 68
1RB0RE_1LC0RA_1LD1LC_1LA1LD_---0LD; .<A1111(111111111111).; 461; 144
1RB0RE_1LC0RA_1LE0LD_1LB---_1RB0LC; .<B101(101101).; 92; 30
1RB0RE_1LC0RA_1LE1LD_1LA---_0LD0LB; .<A1011011011011(011011).; 195; 62
1RB0RE_1LC0RB_0RD0LB_0LA1RA_0LD---; .011011(011)B>.; 120; 46
1RB0RE_1LC0RB_0RE0LD_1LC1RB_---1RA; .01101(10101)A>.; 119; 44
1RB0RE_1LC0RB_0RE0LD_1LC1RD_---1RA; .01101(10101)A>.; 119; 44
1RB0RE_1LC0RB_0RE1LD_0RD0LB_---1RA; .01101(10101)A>.; 113; 40
1RB0RE_1LC0RB_0LA0LD_1RA0LE_0RC---; .1(0101)10B>.; 114; 42
1RB0RE_1LC0RB_0LD1LA_0RA0LA_---0LB; .<A1101(0101)101.; 146; 50
1RB0RE_1LC0RB_1RA0LD_0LB0RD_0RC---; .<B00100100(100)00.; 127; 43
1RB0RE_1LC0RB_1RA0LD_0LB1RB_0RD---; .<B001(1001).; 54; 21
1RB0RE_1LC0RB_1RA0LD_0LB1LC_0RC---; .<B00100100(100)00.; 121; 41
1RB0RE_1LC0RB_1RA1LD_0LE---_1LB0RB; .<B1011101110111(01110111).; 292; 94
1RB0RE_1LC0RB_1LA0LD_1LA0LA_---1RA; .<A101(0101).; 60; 22
1RB0RE_1LC0RC_---1LD_1RA1LC_1RB0LD; .1(111111)B>.; 97; 32
1RB0RE_1LC0RC_---1LD_1RD0LA_1RA1RB; .(0101)A>.; 34; 11
1RB0RE_1LC0RC_0RA0LD_0LB0LC_1RA---; .001100(1000110010001100)A>.; 619; 202
1RB0RE_1LC0RC_0RA0LD_0LB1RB_1RA---; .001100(1000110010001100)A>.; 587; 192
1RB0RE_1LC0RC_0RA0LD_1LB---_0RD1RC; .0010010010010(010010)100A>.; 386; 124
1RB0RE_1LC0RC_0RA0LD_1LB---_0LA1RC; .0010(010010)100A>.; 218; 88
1RB0RE_1LC0RC_0RA0LD_1LB---_0LD1RC; .0010010(010010)100A>.; 254; 100
1RB0RE_1LC0RC_0RA0LD_1LB---_0LE1RC; .0010(010010)100A>.; 222; 88
1RB0RE_1LC0RC_0RA0LD_1LB---_1RC0LB; .0010010(010010)100A>.; 347; 140
1RB0RE_1LC0RC_0RA0LD_1LB---_1RC1RC; .0010010(010010)100A>.; 243; 100
1RB0RE_1LC0RC_0RA0LD_1LB---_1RD1RC; .0010010(010010)100A>.; 251; 100
1RB0RE_1LC0RC_0RA0LD_1LB---_1LA1RC; .0010(010010)100A>.; 206; 88
1RB0RE_1LC0RC_0RA0LD_1LB---_1LB1RC; .0010010(010010)100A>.; 247; 100
1RB0RE_1LC0RC_0RA1LD_1RC1LB_---0LD; .01010(1010)A>.; 102; 36
1RB0RE_1LC0RC_0LD0LC_1RD0RA_---1LA; .111(111)0A>.; 114; 40
1RB0RE_1LC0RC_0LD1LA_1RA1LE_---1LC; .1111(1111)B>.; 75; 26
1RB0RE_1LC0RC_0LD1LB_1RD0RA_---0RB; .(110110)A>.; 62; 17
1RB0RE_1LC0RC_0LD1LB_1RD1RA_---0RB; .(111111)A>.; 60; 17
1RB0RE_1LC0RC_1RA0LD_0RA0LA_0LC---; .0101(110101110101)A>.; 469; 141
1RB0RE_1LC0RC_1RA0LD_1LA---_1RB0LA; .<A101(0101).; 60; 22
1RB0RE_1LC0RC_1RA0LD_1LA---_1RB0LE; .<A101(0101).; 60; 22
1RB0RE_1LC0RC_1RA0LD_1LC0LC_0RD---; .<C1010001001(001)1(0).; 182; 62
1RB0RE_1LC0RC_1RA0LD_1LE---_1LB0RA; .101010(101010)0A>.; 153; 53
1RB0RE_1LC0RC_1RA1LD_0RD0LB_1RB---; .10101010101(0101)B>.; 155; 42
1RB0RE_1LC0RC_1RA1LD_1LB0LD_---1RA; .10101(01010101)A>.; 154; 56
1RB0RE_1LC0RC_1RD1LA_1LE1LC_---0LD; .<A11(0101).; 53; 16
1RB0RE_1LC0RC_1LD0LD_1RA0LA_1LC---; .<A01111(1111).; 96; 34
1RB0RE_1LC0RC_1LD0LD_1LA0LA_---1RA; .<A101(0101).; 60; 22
1RB0RE_1LC0RD_---0LD_1RA1LD_1LE0LB; .1101(11101)A>.; 121; 49
1RB0RE_1LC0RD_0RA1LA_---0LE_1LB1RA; .00010(010)1A>.; 143; 45
1RB0RE_1LC0RD_0RC1LA_0LA1RA_---0LB; .<A11(011).; 63; 23
1RB0RE_1LC0RD_0RC1LA_0LD1RA_---0LB; .<A11(011).; 69; 25
1RB0RE_1LC0RD_0RD0LB_0LA1RA_0LA---; .01101101(101)A>.; 132; 36
1RB0RE_1LC0RD_0RD0LB_0LA1RA_0LC---; .01101101(101)A>.; 134; 36
1RB0RE_1LC0RD_0RD0LB_0LA1RA_1LA---; .<C1011(011)1.; 95; 33
1RB0RE_1LC0RD_0RD0LB_0LA1RA_1LB---; .01101101(101)A>.; 126; 36
1RB0RE_1LC0RD_0LA0LD_1RA0RE_0LC---; .<A00010(010010)1.; 230; 84
